red,green,blue,clear,colorete
278,111,125,486,red
282,113,127,479,red
278,111,125,486,red
278,111,125,486,red
259,123,123,494,red
237,140,140,484,red
260,117,130,494,red
267,120,133,480,red
267,120,133,480,red
263,125,138,475,red
230,138,161,471,red
235,141,153,471,red
267,120,133,480,red
278,111,125,486,red
267,120,133,480,red
270,122,135,473,red
267,120,133,480,red
253,127,139,481,red
253,127,139,481,red
267,120,133,480,red
274,110,137,479,red
278,111,125,486,red
270,122,135,473,red
276,118,132,474,red
266,127,139,468,red
244,134,146,476,red
263,118,132,487,red
267,120,133,480,red
270,122,135,473,red
278,111,125,486,red
278,111,125,486,red
278,111,125,486,red
267,120,133,480,red
267,120,133,480,red
263,125,138,475,red
267,120,133,480,red
274,110,137,479,red
278,111,125,486,red
270,122,122,486,red
274,110,137,479,red
270,122,135,473,red
267,120,133,480,red
267,120,133,480,red
256,128,141,474,red
267,120,133,480,red
270,122,135,473,red
278,111,125,486,red
274,110,123,493,red
270,122,135,473,red
267,120,133,480,red
98,235,196,471,green
104,229,188,479,green
104,229,188,479,green
106,234,191,468,green
109,239,196,457,green
116,233,186,465,green
114,227,182,477,green
104,229,188,479,green
96,231,192,481,green
113,226,189,472,green
98,235,196,471,green
106,234,191,468,green
111,222,200,467,green
106,234,191,468,green
106,234,191,468,green
100,240,200,460,green
98,235,196,471,green
96,231,192,481,green
111,241,185,463,green
96,231,192,481,green
98,235,196,471,green
106,234,191,468,green
109,239,196,457,green
114,227,182,477,green
106,234,191,468,green
104,229,188,479,green
96,231,192,481,green
96,231,192,481,green
96,231,192,481,green
106,234,191,468,green
109,239,196,457,green
111,222,200,467,green
106,234,191,468,green
98,235,196,471,green
96,231,192,481,green
96,231,192,481,green
96,231,192,481,green
102,224,204,469,green
106,234,191,468,green
111,222,200,467,green
109,239,196,457,green
106,234,191,468,green
104,229,188,479,green
98,235,196,471,green
96,231,192,481,green
113,226,189,472,green
96,231,192,481,green
98,235,196,471,green
104,229,188,479,green
106,234,191,468,green
100,167,267,467,blue
107,143,286,464,blue
107,143,286,464,blue
107,143,286,464,blue
111,148,259,481,blue
111,148,259,481,blue
111,148,259,481,blue
111,148,259,481,blue
111,148,259,481,blue
111,148,259,481,blue
111,148,259,481,blue
111,148,259,481,blue
111,148,259,481,blue
111,148,259,481,blue
111,148,259,481,blue
111,148,259,481,blue
111,148,259,481,blue
111,148,259,481,blue
111,148,259,481,blue
111,148,259,481,blue
111,148,259,481,blue
107,143,286,464,blue
111,148,259,481,blue
111,148,259,481,blue
111,148,259,481,blue
111,148,259,481,blue
111,148,259,481,blue
107,143,286,464,blue
111,148,259,481,blue
107,143,286,464,blue
111,148,259,481,blue
111,148,259,481,blue
111,148,259,481,blue
111,148,259,481,blue
111,148,259,481,blue
111,148,259,481,blue
111,148,259,481,blue
111,148,259,481,blue
107,143,286,464,blue
111,148,259,481,blue
111,148,259,481,blue
111,148,259,481,blue
111,148,259,481,blue
111,148,259,481,blue
111,148,259,481,blue
111,148,259,481,blue
107,143,286,464,blue
111,148,259,481,blue
111,148,259,481,blue
111,148,259,481,blue
